device_model,frequency
c4e185d1,183
c517f57b,1513
c62fb381,1
c6520046,2053
c653d4f4,192
c6caee14,1
c6cf4502,562
c7932e5a,4
c7b3a022,3
c7fbec7d,18
c8231bee,1
c8aaa4a8,8205
c91cf4fa,1491
ca45ed5d,6
cb0b7156,539
cb58e541,7529
cb7c4086,10
cb7db738,2
cd262c9b,1757
cdad9a30,45
cdb6fa2f,128
cdfde03b,8486
ce8f9d0e,3
cf19f7f7,34500
cf8e768f,88
cf9fb88b,1557
cfd01e2c,88
d10ca9bd,5732
d12721c1,1
d1cfeb36,1540
d2632e61,1
d31fccdc,63
d35360ef,150
d3887970,18
d3cf2e71,150
d3f863ba,4469
d448a82c,92
d47635d6,3
d4ef5990,329
d5b6d478,4
d5db24c3,33124
d6e09641,19
d715c16a,1
d7682db8,4
d787e91b,1405169
d7b2e592,1
d80ad439,24
d860d68f,815
d9117b40,105
d9137319,20
da37c014,4
dab5be37,10
dbfc0278,61
dc08543d,1815
dc4362f4,4
dc70b0f9,18405
dcece75a,2
dd2a2dd2,55
dd4d5d5a,19
dddbb526,3
de6f2215,59
dec2c2d7,2
df4c4ed0,10
df989ae5,1
dfeda01b,33909
e0931fec,1336
e12e75cd,19857
e1588726,22
e1c5f1dd,1
e1f0b85b,128
e2682f43,1
e2d68230,1362
e31e4117,5
e37b91a3,7
e3dfdc4e,74
e49c0f85,19
e53ba6ec,738
e5cc07d3,52
e5ee2923,109
e659a125,16
e69d1d1f,3
e6b89ee7,2356
e72471a4,9
e7726527,3806
e77f5ad8,1
e7fcaf32,9
e83e574c,1
e921bfcd,1796
e936036b,291
e981565c,71153
e999784f,2599
e9a90f15,271
ea40440c,1527
ea46f40c,22
ea62263a,2
ea9bf49b,1
eaee5fc3,3419
eb0966e4,2230
eba5a106,152
ec99b234,323
ecf81408,33
ed78d6af,21
ee26d550,2716
efaf4f92,29
f07b2e3e,3
f1d95a34,1
f223742e,451
f2a0d394,126
f322e732,15
f3238986,1
f40a42ff,590
f47ecb00,82
f48dcfcd,1105
f5267723,7859
f5351a9b,4297
f5a5ba1e,32
f651b9b8,1
f6865df6,88
f6d8fbd3,177
f7c83faa,8
f7e7ca76,8
f7e81a2d,3660
f8ef17e5,1
f90fedaf,733
f9b5bc7a,61
fb24b455,54
fb38476d,26
fb42ee04,51
fb508b56,33
fbc27727,19540
fc74468c,8
fcb19133,2
fd646cd5,6
fd7a1b16,18
fe64e635,485
fe8d9bf8,1
ff5cbc87,1110
ff9df0b2,61
ffceddb3,45
0009f4d7,5186
00a05095,30
0156d096,6
0207dab6,8
021b641d,27192
036efefe,21
03b3bc60,386
03ea127b,66
0416b77e,45
04f5b394,152704
05004cd6,679
0582f0bb,1167
061dd4c3,11
066b4fd2,12
06d4beda,3
07bb0685,18436
085635cf,22
086ae2a6,3
093d87b8,1288
0973d9ae,9
0a41a768,1
0a903d85,167
0a945c8b,742
0aa4c288,1227
0ac8f53f,2
0aeb096e,500
0af37f9a,181
0b285cfc,1
0b3a28f0,8780
0b698ab4,36
0b80fa25,4
0b83b794,2315
0b95a03c,69
0bc566e7,9
0c54dbd0,1874
0d0707c8,14137
0d7ad2f3,6950
0dfe6c06,22
0e033e7f,151
0e38f513,90
0e8e071c,1
0fe7f004,56
1084b388,18
10b682fe,12
1173fd61,1
11f28ebd,1360
13761d95,17
14d2e589,34
1560ce17,10283
159badf6,1
168a5793,51
16954458,48040
1739f993,4282
183651a7,8
18d8fb90,16812
18f88d6a,6507
19d081d0,56
19dc86a4,1
1a210bb2,85
1a6ea24c,21
1a84d667,1
1a9c364b,38
1aa0e912,110504
1c1b985d,249
1ccc7835,426161
1d8954d6,140
1d99278b,5
1e23d038,1
1f91bb86,9
1fa06e1b,8733
1fd85db7,11
1fe51031,135
1ff4b9ce,10
20083145,1
20a8b3dc,6
20ac086f,3230
21910b8f,2
226cfcab,41
2277dac4,1548
22800eff,9651
22c9a506,1774
22cbc37a,11
234e50e4,681
2373b9b1,365
23823d8b,23618
23bd28b1,4
23e5066c,43
24200c22,2
24225c29,2228
24ca0638,237
252b93be,61
255429b0,3
2573dd72,344
25fbd8f1,7516
2683d6a0,1597
2692a96a,164219
270e771c,15
2765411c,2
2797d053,1
290d747f,1
29966243,2080
2ac45681,3
2b2a44fc,412
2b557631,5940
2bce3bc5,5
2beac00f,1592
2ceb846e,199
2cf216f0,48
2d98b3b3,3330
2f922fe3,8
2f9dfa49,903
301d5e26,6
305979db,21
30906b56,71
3165bfe2,1
31b1f326,27
32217447,245
327aad24,1621
32ea25e6,67
332a2310,4
3372054c,22
33ef0197,1384
346d520d,8
348d758e,16
34d4af6b,18988
34da94bc,2
354dd533,19
35eeb035,214
360a6729,6301
365e64e3,16983
36885bc8,35
36b8f4c5,31578
370b0539,4094
3849a3ec,13
388184d4,23
38835510,219
38a564d6,3
3a9e5318,26
3b2296b3,1223
3b5f505c,1163
3cc39c7a,5
3d5ceccb,16
3ec6a244,1
3edf6139,83
3ee3c0cb,582
3ef14722,2
3f2f50a4,3
3f3cc0a8,2
3f9ef25d,253
4111a504,323
41410468,1
4148942f,8
41f6e05c,1127
429bf051,4549
42c83c64,3571
43596bc2,13
4395dba6,4031
4427f903,620
44b7a49b,7426
45f06c1c,417
45fbca85,1312
468df2ca,13
47710d1a,22
477bcd15,90
483e26ed,1
48629a44,86
48d464e5,1896
48e60304,2
49684938,8
498eaf95,2
4a2767c4,349
4abd7cbc,6703
4ac8a029,1
4aca24e4,3
4b1ed88b,165
4b22f981,9
4c07259a,1
4c8a81bb,149
4c9a62fd,3879
4ccb06fb,29
4d9b1100,3
4da03df4,5
4ee331d7,105
4fa7c8ca,34
5108d700,299
529d763b,73
52bbc73a,22
52e54913,306
5321af2a,367
53ad35fa,90
5429041c,27
543915e0,132
54667181,2
549c2e9b,1488
553dacf9,1
55a0ca75,41
573a8a60,4
57b3c6c3,39393
57f38d12,62
5861d35f,262
5901521d,7657
595676f7,1
595845b9,12
5a5ac175,156
5a82dc00,9
5adc8406,2
5c20bbec,131
5ceba180,532
5ced29f1,18
5d8fbbce,115
5ec45883,188755
5f2e621d,31
5f45452b,3023
5f68fe69,586
5f6d937f,12
5f96964c,107
5fa876d6,4
5fa919f3,1
603fc52b,2
620311f4,22971
623effc7,1
62c8d644,90
634efee2,5
6351115a,1
6351cf30,16
6384c4b3,2
645441bb,70
65296435,2
654c3eb2,19
65a88cfb,9
665db423,658
66b8ec32,527
67135ae2,1
672b7b6a,63
673729ee,2842
67574c8f,1
6772bf15,1
67e4d126,2
680e71bd,427
6828b31d,4
6836beaa,356
6871ac88,7471
68d8786d,287
6918390d,1568
6973812a,1
699b3032,38
69ca45ee,329
6a9be654,175
6b065893,53
6b6a9943,133
6b7f538d,1156
6b8f02ad,58
6c4bb00b,1
6c9c0ea0,82
6ca65247,33
6ce25010,5516
6cf941d1,1777
6d4dd182,14
6d79a0ad,6
6d823b3c,13
6dd413c3,4
6dd6b7d2,2
6e1a0b2c,132
6e1e0250,355
6e37943d,48
6e4d5d24,280
6e5b2344,4384
6ea6ebb1,127
6efc34d3,39
6f08eb94,1
6f7e8792,19
6fe46978,1
7019bb95,500
7023b59b,422
70544027,18
707bf9b8,55
7119aecc,1
7137a8ae,533
71651069,120
7206592e,11
72bf9937,1
72caa4d9,2614
72dab84d,26554
72e40f54,88
73298999,113
734baf51,44
73787166,158
73a174ea,8
73be6e5c,98
73df0259,306
741e98e6,62
74672aa0,166
7485146e,54
74a64c93,3
752f60e7,26
75a63885,83
75b4f7f2,249
760b183a,5
768d5f37,24
76dc8d6e,37
77679fe7,23
78a750df,1266
78cd4bd4,8
79e29284,9
7a478281,12
7a5abc90,1400
7a7e2362,90
7a8419be,11
7a90173d,1
7aca95f9,9
7af0ff39,197
7b6ea8ad,367
7b7dc817,3
7ba6250b,12
7bef8567,9
7c1a5395,16
7cb4c488,1
7cef2b79,3
7dc3b26e,52713
7e0ddeb0,632
7e46b36c,16
7e8aec57,976
7f1e0fa2,11
7f8c49f2,9
7fc0339a,880
7fe4526f,1
7fe9fa2c,555
806c5c7d,72
812a628a,1156
814329ec,1
8174ddb4,680
819048b1,279
820bcf17,4174
822b5b93,2
833c9119,7
836b35a4,901
836d2439,46041
83fd05e9,1
8450b394,155
84915a27,266
8494a0be,41
84dda655,2831
855ab99e,405
862233dd,2194
8646be16,372
86779b3e,7
8737a142,1
87f120c0,2
88d68220,23
88e72e0a,113
8967e320,1579
8a29047d,6
8a5018cf,6
8a88896c,845
8a8e7715,6
8b0dd059,220
8c078b3a,341
8d520aa7,675
8dac45a8,220
8dd0c907,1
8f1db0bc,42071
8f4fd1f0,13459
90734bd6,3
9187d74c,167
91abff7d,11910
91eed306,32
9238d4f5,1
92967682,7
92dfe250,126
92f86fee,7
94c775a6,33
950d7517,359
95194745,15
954e5c84,421
962ede24,2
969ee142,1
96a5a85c,9
9741edd6,820
9850153f,244
99381799,3
998f671a,1593
99fbb56f,421
9a44e584,15
9bf61ad2,15431
9c6831d2,1008
9c849290,786
9caae4eb,15
9cce9108,2831
9d21b1a9,159
9d765642,473
9daa6b86,70
9e2719a5,24
9eaccec8,572
9ed79f67,9
9fef9da8,25936
a01422c4,1
a0bcf237,36
a10bbbc2,735
a2290e38,982
a2c17091,15
a2fe6a40,1
a315c942,1
a37235a0,2338
a59ad64e,191
a59d0d6d,622
a5a9b64c,4
a645eef2,163
a6ebc7ad,2365
a816699c,516
a850fda1,6
a852b91a,176
a8b9fa0c,8
a9a6591e,8
a9ccc279,3706
aa069534,3026
aa2a5321,3729
aa35da31,48727
aad45b01,303474
aaef0cf4,35
aaffed8f,123872
ac116319,7
ac2f565a,2107
accd4de4,1503
ad0a5fcb,58
ae0c1708,362
ae2128dd,2
afc832f2,1706
b020f8d0,945
b0f75c40,193
b21f1b40,8
b266dbd6,1
b3763454,1
b3ab4025,1
b3af2123,144
b3ea782c,134
b4707e3e,7
b4c772f2,8666
b5178162,98
b540a477,144
b70b2936,1
b778677f,663
b86ecf89,14
b8f9418d,2
b91d1d13,83
b9b157dd,14
ba1b438a,8
bada0eb8,2716
baf210de,143
bb4df958,2
bbe31936,4
bc006227,125
bc7967e7,10
bcb5a002,1
bd3ceb1f,166
bd465767,1521
bd5d7d84,2894
bdc1009e,2565
c06837b5,142
c0ef746f,18
c149c39f,207
c2041325,607
c243deae,4541
c2479e7b,57
c27c2255,82
c2950991,5
c2f58bae,164
c34157bf,13222
c4b41200,1
c4b9fd18,35
c4c73e33,4343
c504a08e,2
c7274f6c,3839
c785fd47,1
c78c958a,28
c7d291a7,3482
c82251c6,7
c88ae32f,2
c8f0c7f3,2
c99b9965,1126
c9a3c67f,2
ca29833d,5
ca5aca47,8688
ca83e444,19
cadf1f45,1281
cb509bf9,16
cba8c0ed,6356
cc63cb07,27172
cd21ed04,3
cdb0c684,10
ce34c825,1178
ce4652f6,1
ce5b4277,31
ce8373b3,37
ceb8fc6e,4
cec83d8c,2
cede483b,1
cf247045,1
d0edf686,15305
d17a0181,23616
d1895d6c,2322
d1c9cd7b,2
d230fac5,2
d25693ce,74697
d2910f79,623
d2a05ae3,1
d429b6cc,663
d4311d52,90
d49a6dae,14
d4fb8e92,6
d5f37283,3
d5fbe357,5367
d6b7586b,13
d6dfdad2,2
d7b63215,4
d85bf2ad,2504
d96d1f03,5
d9a2d3a9,7973
db0764fa,42
db3cb302,4
db9127b7,1
dc31133e,29971
dc6a0cb8,1
dd5aee98,6
de19f57c,2448
de5a8a1d,34
dec65409,56
defa4639,1
df317dd0,4
dff23b13,12068
dff4de14,62
e17b313d,3
e1825cf2,1666
e211cf54,3648
e2675ed3,53
e2e09308,21
e3a226e6,3
e3bb76b5,32542
e40d3cfc,1377
e44df481,1
e497e321,1
e54cd653,91
e57612c7,21
e6df6670,1
e702acd1,434
e7816ba8,5990
e7816cba,19
e823fe9a,66
e92bf735,109
e97ff4ad,60
e9bfd2aa,1
e9c94dc7,1
e9e1aea6,18
ea1c91d4,4032
eae38ea9,290
eb419341,30
eb7a45fa,27
ec219398,243
ec70c4e0,273
ec731f46,537
ecc97316,4
ece160a1,8
ed29f87a,2950
ed650bca,1801
ee3044c0,8
ee4cb8f5,1
ee85d284,65
eee8d120,544
ef726eae,277657
ef79380f,64
efad8fe2,43
f058dca8,10
f0a10457,8
f0b92de3,67
f13393f7,88
f17e18a5,28
f1ca7468,3
f294455e,4
f3eb1415,6
f4d18dfc,2390
f50d4405,2552
f57a131a,3041
f620c868,4721
f6a35f2f,2320
f6d4cbbd,300
f7d79adb,1
f85c8416,4
f862897a,10
f8711d32,145
f87a5126,2
f90feaaf,71
f9241eb7,10
f9cd3113,13
f9ead1de,566
fa202956,3504
fa2f4a7d,24
fa332ca7,17
fa374547,4754
fadc48c9,589
fafcf062,744
fb0e93bf,1
fb77f2e4,444
fc08a1d3,43
fc17c857,2
fcaa5f92,133
fda40691,1424
fdbab626,368
fdd5cfc0,287
fed431c0,3
fedc7b0a,25
ff2fef35,116
ffc554e9,4
00603923,11
008ac803,1584
00ec73df,13
01118646,8
0135c685,5305
01634391,3117
01cd7843,394
02653dc6,937
02d14ecc,774
03c48e34,5479
03ca0a6e,46
03f3bc7f,58
04bdec95,627
04cb50ca,2179
04de3bae,5
04eb5517,562
058e0eb7,6645
06bc0559,25
06e0f70a,40
06fbfd42,20243
074ed3ef,83
07f1812d,75
0865f333,5
08e8b6f1,406
094b26ad,13
09ac067f,1905
0a0a6f6f,146
0a7a97fc,21
0ab8a56e,2
0ad641cd,1340
0b8e9b57,85
0c2c6f0a,2
0c9a40ef,7
0cda5bbf,168
0d4f1027,3
0d8ce284,12694
0e01d15b,1
0e98f92a,1
0ead74af,8
0f33af29,8941
10636d51,132
11607733,31
116c9913,923
118d37c4,187
11b1f0ff,1305
11e4e570,3
11f35459,202
12369352,20
12d72990,1
13555279,25639
1392781c,205
14bfc21e,1137
1502ea54,16
15b57b37,4293
15dc7414,179
180ba986,12120
1936a707,1765
1995709c,3
1a3e1595,116
1b193626,38
1b847cd8,483
1b96ccba,423
1bb352f5,44
1c0f4f40,141
1c99a649,3286
1cbb58f9,3
1d31f252,1
1eecf2a7,80
1ef71dad,197
1ef8035c,279
20107db3,9
209647a3,826
21f9837c,142
22433db2,973
225f6338,1
230a1072,275
2446bc1b,24
24f6b932,187558
25cfc3c9,6753
25e0fb25,41
26135385,141
2626ec75,21
26291def,361
2711f928,3
272ca818,4271
27fb3f67,11
28020a0a,1
28570f08,995
286257d7,4
2947b6a7,14
29a638e9,280
29fe4dd1,58
2b092d6f,3220
2b127119,45707
2b657a06,15
2c273115,1
2d31fd3f,729
2d7132f9,13
2dcbfdcb,325
2e7bea37,8
2edb8b35,2
302ee17a,6
30367579,131
307d59e6,65
30e67ecb,3465
318b7bc4,1096
31c22923,392
3265fb28,13
327620a0,2705
336cae68,95
33c9c797,14360
33d6f4b0,42
33fdbb1c,4
3408ea48,292
348d745a,7
3526f5d5,2857
35feb9a3,392
35ffae6c,36
3687951d,55
3707762b,3566
385780ee,7
3937b3bf,3745
3984154f,169
39aa9325,15
39e349d5,212
39f2aaf2,590
3a99f4a2,66
3b31e97a,916
3ba983d6,124
3bad8fea,7
3c2b987c,3
3cb67a50,920
3cbacc15,10
3d8aa3ae,14
3e07abd9,1
3e0f0059,5
3ee2678b,4
3f03eb80,1093
3f367ed5,1
3fc2200d,859
407109dd,1
408137ac,1
4082ae6a,168
41c87f95,25050
425c69bc,1
428bcb95,12628
42d84bbe,3
43617dfa,4865
436474c3,8
43a30462,34160
4422b3db,3513
45a35fb3,1
4690f94c,7
47453c2a,86
474e8845,19
481a8cfd,15
48569b3c,34
4894c06e,5
48aa94d6,20
48b80f74,56
48ff4ab1,8
49544b07,451
4966c822,15
4a40accf,134
4a9882c4,110
4c3bd83b,1
4c4cd49a,1
4c73f77f,11
4cfd89b3,239
4d13dae8,1
4e40669b,228
4ea23a13,645153
4ebc3a6b,15
4ec1036c,1077
4ee75525,113
4eea428b,54
4f14f1fd,92
4f4decb1,29
4f6d6b61,334
4f971352,2
4fa8d553,3046
502553fb,3779
505a6cf4,81
5096d134,475264
50a85b97,6203
50a89f3d,39
50d0e240,270
51964ab9,2
51fc44d0,131
523a405c,27
52d5c99f,135
52e594d7,88
535d74df,67
53604b33,2
53691868,2
537cb617,279
53de82c6,1314
557c69b4,5
55a081ee,16
55f5b7fa,3
569f1519,6
56a3e29f,37
58237c22,13
58320f9a,26
58bf87c7,1086
59639e7d,130
59addc2f,1
5a33307b,5
5aa56682,82
5b48fbd6,3
5bb9f28f,273
5c80b302,1
5e1c866b,20
5e2d209d,2
5f276477,1
5f594452,4
5fa10ab5,277
602fca57,9
605b7566,87
60871efe,34
60a575ef,6285
60fb6071,4
620fe843,1214
6255dd19,1
6325a24f,34
63279707,162
6360088e,9
639777a9,2926
63c6aaaa,1
63d4c914,1
6406a8df,173
6487310a,1713
64ec8dc1,804
651c408c,362
656e591a,5
65b5cbdf,229
65b99a9b,26
667dfbf8,10
6715887e,19824
67264d38,176
673f730e,208
674ccad6,147
67fb3069,1051
684581ce,185111
6895cdc4,1
69cefa5b,55
69cfb178,1
69e9bbec,5
6afc734f,34641
6b2a939a,8
6b41532e,1
6b5275fd,748
6b7a1353,1628
6b7bdb10,18
6ba61862,216
6c15a39b,4894
6c9f903f,1
6d3d5d96,41
6df418da,553
6e93a6a9,1
6ebf2ce2,1200
6f11327d,69
6fdc005d,768
6fff913d,722
712639c5,103
715af079,15
71864100,1
71b98431,1
71d4174d,493
72158013,1
722dbd98,92
7294839b,18775
72a00661,72668
72a8ad96,5
72aafd3d,1759
733df5c6,15
73b4563d,37578
740f692c,18
741c700a,7
74319c79,43
743e10f0,1
74b0fc2c,1895
75487f1d,34
7565d077,3
759be549,1
75dc7d65,80
768a73cc,25
76981525,159
76bcccf7,1
77663e88,966
77838fee,11
779b3ba7,545
77bf3c3c,66575
7856d9aa,25
79205023,18
794346bd,12958
799b8e11,3
79d60354,242
7a9d5577,522
7abbbd5c,636673
7ad51f24,4
7aef421d,35
7b1fdebb,59
7b49b45e,55
7b4b7b08,1
7b9bbe72,552
7ba1fa6c,5
7bfa823b,5
7c91dcdb,190
7d1c02d4,1
7d5168f7,5
7da78c21,130
7e752449,3929
7eef184d,17471
7f6ea9ac,203
7f93dc48,1
7f97d1eb,7
7fcbafa1,157
7ffa870f,19
800d8d10,550
8013ea41,1855
802c1504,1
8082ce5b,2
80c2a034,1161
820d9d9c,162
82663187,194
82a79fff,3860
82b3e60b,7
82c3ab78,8
82ddd809,4056
8348a30e,3
83a1d35a,778
83dc9e73,1
84517fd3,2
84ace234,350
84c3db22,41
869a693c,335
87a28382,109
87dac462,2388
88e10680,6
8a345c13,1
8a58eb4e,1
8aaed0ee,2716
8b3a256f,4
8ba6787a,1
8ce34352,132928
8d191590,66
8d7066bf,30
8df329a6,1
8e65f70f,183
8fd57832,288
8ff34753,5839
900ad1f7,3689
903e8760,1650
926f921a,3
928456fb,1
929b6845,60
92f4ba26,39
932f81e9,74
943b81e0,20
9473b7ca,54
948fc6a8,131
94d6c20c,16
95592f30,15
95a0fb49,47978
95c0e2f5,976
961b1c04,851
9658a873,1745
96b90808,172
96e66d40,334
96f59031,132
97066fb7,4
9766aeeb,4
97d2cd69,43
97f4e122,57
9869aa3f,4
99935b6d,2
9aa9b907,30
9b578036,100
9b78fb46,9
9ba97165,3
9ba9e05b,14321
9c10df98,252
9c3d572b,1
9c5b18f1,28
9c84d6a8,2300
9d01e90e,5
9de983e7,196
9e0e0e08,106
9e1b2600,4
9e75183d,31
9e91b8c2,9
9e978821,8
9ea0eb04,1986
9ed5663a,8
9f1fb5e3,78
9f8ff1ed,643
a00de45d,103
a0b262c6,10278
a0f5f879,652751
a1a789fa,20
a26085c4,28
a2aee882,222
a2b02d72,889
a30fdd43,1
a326aa30,14021
a356fb42,1
