site_id,frequency
95cfa3ba,27
96822031,2
9782d407,1
97b6e615,5133
97ecc91a,6
9822cdb9,1
996b74ab,10
999de637,8
9a28a858,19218
9ac98ffa,1
9b6217ea,1
9c842148,1311
9d5dba0f,21283
9dae76b9,84
9e72247e,3
9e935b43,1
9ee22e1a,11
a001989c,209
a18ebdf5,14
a1b948b8,4943
a2514528,1588
a27e3a64,2
a2c4e853,4
a31df9ce,57
a36d1129,32
a4145521,1
a44c6bf8,9
a46db3db,8
a4dc6905,150
a51c23f0,498
a5c61f92,42
a6d24c08,2
a814a754,1
a89f20a0,10
a8f0cf05,2943
a92af640,1
a9b19f81,4
aacdc6bb,38
ab4f2854,38
ad639ab8,297
ae3979bf,5
ae4cedb1,13
af18b5e0,71
af976e25,6914
aff3b87b,87
b0d1ffaf,6
b2ffec42,1374
b352d9e2,368
b6378215,6
b6bd4c1e,3
b6d81620,170
b78091bd,8
b7e9786d,369099
b815efa6,32
b8cabd8d,1
b9b31250,2365
b9ba1868,365
ba387e11,24
ba5de683,3
ba61f673,1
ba8f6070,601
bc0ea732,1
bcba9690,17
bd5c7b9a,62
bf2c3f95,6
bf575090,9
bf605f23,724
bf61c2e9,2
bf991633,1152
bfc98154,22
c01287ae,3006
c040c1dd,531
c04bee75,1373
c2c7dac1,52
c30b87cb,31
c3f4c787,303
c5e82450,2
c65c4fc4,10058
c66bd8cf,4
c6c5e71c,9
c6f0694e,298
c71b00e4,1
c74a3497,1
c7722f88,1
c80f37c7,1
c9503483,24
cbb1371c,465
cc3919ad,2
cc8dbca4,18
cca83748,4
cd64a9db,1176
cdb27e25,3
cdbd1988,1
cea97562,647
cf58caf4,835
cfac8157,4
d020d197,717
d068b03b,1
d1506c3e,18
d29f6d5b,5214
d381b72d,42
d4361108,85
d61df48c,465
d70360ea,6203
d7288ceb,6
d7660b73,3
d7d15d04,212
d7d3e3c5,73
d82b28e5,415
d88c18b2,4
d8bb8687,43802
d8e6402c,300
d93c45be,2
d946355b,201
db296045,572
dd20a777,1
dd98f83f,66
de0e0ed4,1775
dec9fd3e,1
dff19ed7,1
e030b8dc,17891
e0afe189,12
e1fb59b8,32
e2547d3b,8987
e4349e3c,39
e48de5a7,1
e490ec9b,1
e4e7d82a,2
e54b036a,1712
e5541fbe,75
e5813398,6
e59ef3fc,24018
e5b1c523,1363
e6166da6,2224
e66059ea,1834
e6972b91,1887
e8adaa99,111
e8f79e60,259289
e9911286,815
e9b5f108,9
ea63007f,34
ebcb8d04,97
ebcccde1,11
ec59017a,430
ecf90e24,137
ed779c69,1
ed7aedbf,6
edc21329,27
ee4e7db8,353
ef120d83,6
f09a658f,1985
f0ee33c5,31145
f160d53f,584
f28a1940,41
f2a59092,1
f48efa3d,153
f4959604,22388
f8ee506a,2
f908f7e6,335
fd7011c5,1108
fda21062,94
fded1086,2
fe1a01f6,3
fe68d958,332
fe9c7f90,38
feb793b0,69
ffcff165,747
00da5a8a,20
00f5367d,79
00f7c6fc,96
011e5414,1460
0126d590,7
02a66025,750
032457fb,11
0580e11e,40
07889b01,14
078d3465,16
0854eadf,1
08a02feb,1
08d15fe7,2
095abd1d,671
09c816c8,14
09ffd882,33
0a82315d,1
0afe1d37,10
0c1f36c6,3
0c94ecac,13
0d482273,5
0d99d205,3
0e1d2cf7,9
0ec2b8a9,14
11765359,1
117d4d05,178
11995fc2,172
15203e9d,141
1561bfe7,24
16577ea5,16
17a9a9bb,627
1804fb7c,1
1970c201,27
198f3f8c,7823
1b249628,380
1b84e3e3,25
1d09c3e0,9
1e9bd9a8,257
1f25f346,8
1f39d532,57
1f9b93d1,77
20bb0879,507
20e7d3cc,2436
223a77aa,5
22a5784e,78
2372e7d4,61
23756717,10
239adfaf,2594
23c005df,17
24e8046c,138
25134838,27
2640e3f2,2250
278f8f77,75
27bcac88,21
27e9adbe,2
2830cc55,3
292ec819,6
29a44004,1
29fac11c,424
2c70834c,253
2cf25b08,23
2d6a375a,6
2e1e57b2,31
2e402bc9,4171
2f263f08,554
2f635482,811
2fe7bc81,807
30a9cd52,2
3180f431,86
325dbe14,12536
3282df8e,2
32dd07e6,658
337638fb,175
337f7709,19
33b3b7dd,6
34855652,1236
34b51b59,506
3536fe5f,584
36843b4d,219
3695113d,675
37189abe,298
3763236d,14
37f72a0e,4
39bd5ac6,37
3a2bf04a,20
3b2f27e2,1
3b612913,2019
3b91ce35,58
3bc10876,10
3bc3629e,2
3c0db4cc,269
3ccf5329,1822
3d285067,25
3d43be4c,61
3d81a53a,1
3dd5f4e7,8273
3f4c44a7,136
3f7c99d7,71
3fb8684a,221
40d8917f,128
40f05855,265
41066c31,39
42d8bc30,19
432bfe2d,26
434c77d9,9
44b1927f,32
44dfe3b3,13
45b4742c,1
47548733,491
477c292b,33
47b1201a,54
48b4dcd3,949
49cecead,28
4c391571,10713
4e864776,447
4f0a57a8,39
4fc10cbb,12
50244fd7,8
506962ea,1
517b8671,54512
539ea3bf,1
53a616b5,7
53ff5aa8,2
5440d6b2,15
54e84217,10
551f77ce,216
56e42b1c,82
57292b7c,41
58539a51,1
5921638e,3166
5a61a08f,302
5b787406,40851
5c16c534,435
5c3cf4a7,4
5cd9c54b,8
5de7a54e,658
5e44f66a,1526
5f93de7c,521
5fd2d76a,1
60025c22,3
60efd545,6534
6188fdec,277
629fa55d,273
62d904a6,3
645c8ecd,3
64e14cc6,5
654831c2,212
655a5bee,1
65964c45,1
665fd407,101
66d9417f,4
675e9f6f,17
685763e4,6
68b9596f,19
68cf09a3,4420
68d2045d,5
69e4fb8e,1039
6bb466a1,16
6c276dc3,36
6c951a36,25
6d9ca40a,19
6dd700ba,1082
6eb6ebcf,24
6f03c1b6,13
7034b859,591
706c4398,4
7088eee7,1
73747544,726
76287dbe,1
7658658f,29
777289ac,1584
77f256f9,3
781695fb,3
79269cff,147
79577261,41
7a55f5d0,685
7b25cafb,4
7b3c6d3f,3
7b8dd9d1,1
7cec4317,83
7dce554c,440
7e41c2d2,118
7f4b0183,8
7f6f1a2a,5
7fbb1b8d,8
802ba066,507
80da56a4,7
80e454ae,1530
811a890a,586
82530cba,32
8287a32c,35
844197c5,1016
86417e63,1
87affeb6,3
87d9ffd3,1
88070a0e,25
88d232f2,4471
89a56180,318
89c3d2bf,46
89e4481e,61
8ad7a49f,29
8c4c98bc,1
8c4d541b,3
8c788ce9,2516
8cc0ecc3,1
8ccaa130,2
8d8581db,4
8db31665,1183
8f2a32f0,11
8f62353f,30
8f8d328c,259
8f99eb13,2
903bebe5,758
9067e809,216
915962cf,134
917fbe65,11
92d78610,37
92e84d37,9
92ed9840,1
93bf7a25,12
942bff76,142
951ad1fd,172
95be0243,4400
9618f706,820
96e83602,1
974163e1,1
97430aa8,2697
99dbd234,1260
99ef8276,1
9df375ca,1830
9f2548ea,122
a10b1ce4,35
a1372924,7196
a1dce904,147
a4a944d7,6
a500ebb5,535
a68c2363,263
a68fa2be,1
a6e7e0d1,2
a6fdf1ec,151
a70adc51,29
a739db4d,1
a7a71ee2,720
a7ce52cc,1003
a8080b1e,1556
a89b9336,62
a89d711a,12
a9780157,695
a9da6fc9,285
aa4cd43b,941
ab24733e,18
abd184ea,201
ac204a9e,1
accaa551,6
adfc7184,5
afc7f4e4,1
afd86813,46
b03fedc9,10544
b0cdfc36,5
b118c80a,28
b25943cc,75
b3e07dd2,194
b58dd3fb,20
b606e7f1,2769
b612cdcb,3
b6bf22a3,65
b6c4d682,64
b7b96991,1
b7dae257,1
b858873a,34
b8eae5f9,49660
b9cf48b8,1
ba7311c2,100
ba9aee1b,89480
baad47dc,202
bb4fdf59,59
bbb771ed,41
bd4ddf60,25
bd595ea4,3502
bdb60aea,39
bf0ffd64,2
c0559643,52
c0914730,33
c255efaf,2
c2cee541,24
c306b25a,212
c3356e84,61
c3fea8f2,1
c4af9354,90
c5003eb5,3
c69425c0,923
c6cc45df,63
c6d4e6cc,1548
c774c424,30
c7a67cd9,112
c7b31dbc,8
c82c647c,41
c88509aa,1
c8862f47,4230
c9639aec,12
ca5d2559,823
ca61c184,106
ca867e3e,45
ca9b09d0,20
cbd162a1,1
cd32cfbe,34
cd9f1c36,1
cde143f8,2
cde322b7,54
ce5d1254,60
ce9d8cd4,297
ceb48a0c,77
cf5b4819,19
d0e1f32c,1
d1e2e94b,11
d2f711b3,92
d342e329,1
d38b2fb9,3236
d410bf4e,1237
d56050bf,2
d61d0658,7
d62c04aa,136
d6588782,61
d6afc658,1
d70e4330,8
d8169629,1
d8239669,28
d924e2d7,17
d9750ee7,963745
da09100d,3
dc1e8b06,10063
dcc82a4e,108
dd359980,533
df91d904,1
df92ad73,1
e0930469,39
e139b348,7001
e2f26a17,899
e3038d50,1
e364d42f,1
e5a0de9c,12
e5b64873,45
e6808cbd,631
e74a589f,4
eb4792c5,4
ebbd9405,123
ec6898f1,4370
ed20607b,3225
ed8896a6,12
ed8cca84,78
ee485e3f,45
eef37994,2
f0397a55,386
f1453ed0,28
f17f716c,2
f1e5d855,282
f291742b,7929
f2ad8eb5,249
f3f31e62,6
f40c278d,2
f4586eab,137
f485afbe,663
f4c9256c,57
f5838e78,36
f759fd28,10
f7fd11d6,3
f8993cdc,1
f95cae09,827
f9da8293,23
f9dc97a5,3
fa6dfd7d,5
fa95a630,4861
fabd5274,48
fb2756f9,957
fb8699e5,524
fb89ea07,2
fb9c6044,10
fe918eeb,6
ff108d09,233
ffc29ba5,64
ffdcedfa,19
01da43f6,117
02546dd5,1118
0329000f,68
0338ff60,150
03b09b9d,4
0562acf2,1
05b69cd5,1330
066e9c72,2
070e7b7d,1
072bd2cd,465
0780fd0f,2
0849db33,1
08b6c760,714
08bbff54,10
0ba1c5e7,26
0be9712b,42
0bf7cf2a,1576
0bf8762a,10
0dcb0b32,14
0e490350,7
0f4e5c55,1
10a59dec,13
1119eeb1,7
15d93b0b,9973
15f3c894,746
172ab066,421
17c95ba2,32
19b0fc8b,213
1a4609fd,579
1b1c7b7f,57
1b694f48,1
1bca7c49,1
1dc57514,3
1ee69d19,6778
1efcc0d9,49
207b1b7f,23
20831b65,3
20e2b21c,10441
23a98147,355
23d265e0,8
263b1fce,14
26ed9e5a,3
28391c05,7
29093a61,1
29cfa778,932
2a99a910,3
2acf67f3,8
2b479dbb,101
2c96d4e4,58
2d636336,21
2db48e91,40
2e969324,1
2ea1177e,129
2ec90635,83
300ede9d,234
30585f9f,1
356d4fe6,1
356df780,1
357f6ee6,2
372301ca,1
37a71c6a,3
37b67342,6
381cd789,308
38217daf,93223
38cd67fc,1373
3adb3df6,115
3c06c8f5,1662
3d127484,4
3d3671f3,133
3d7097f2,77
3eba3abd,113
3f97eae6,751
42038ab6,2115
429c2fda,1114
436ab6ac,254
437e56d0,789
44409436,1
44a0a224,1
44b941cb,102
451bd647,205
46a708ff,73
4702e0b1,6
47cb5f41,2694
48109014,515
4ab40d2b,335
4ad70216,6
4b5c16d2,3
4bcf3b2e,167
4c7f47fc,41
4d1bf758,4926
4d933a39,4426
4ddfa597,2
4de24dd7,647
4e430aa3,4618
50aad368,421
511507e0,39
51444fdb,23
5272eb7b,2635
52d147af,1
533eabb1,1
5366a884,940
54107e7a,4
5418259e,4
557d1198,4
55b05242,24
55bc5e6c,7
5756237e,3283
57cac0bc,100
57f14fba,339
57fc153c,2
583df3a6,1
58da0bdb,2
59073e64,9
5a763686,27
5a90500f,7
5a911cc3,10
5abb07e8,8520
5bcf81a2,340050
5c58741d,2
5c7db25f,3380
5d8ce7b5,2
5ec15946,5
5ee41ff2,349008
5f191c7a,64
5fca0d47,54
606bb8a2,1
60c27cc6,15
60f9b333,1
612edf4f,16
61c3ddfe,61
625c4b79,702
6334aa33,1
6423a528,452
64cea274,1
653d910b,3
656e1ab8,3
664d68dc,369
6825d79c,3335
6855cc16,236
68826a4d,5
69790746,4
6c7e709c,1221
6d74bd69,2
6e77bd0b,67
6ec06dbd,129600
6f736a21,1
6ffc34a5,3
7061cc3e,11
717c02c5,443
7260bca1,38
72fe83ce,2
739196f0,1266
740a9e43,4
74cd5c43,1
75845a45,56
75e2f130,12
75f7901f,1
76274f48,3257
76bb56d6,2565
782a319e,153
78e6730c,1495
796e7ff2,29
79e8e7f2,29
7cd8eead,5433
7d8f71db,28
7dc0b6ef,4
7ec4f2aa,77
7ee66c59,1
7f732b5e,702
7ffbff0b,7
824d71cf,115
827d3fb3,51
82b03dda,1793
8372bbc7,12
83988d26,179
83a0ad1a,268735
84a1d3d2,1246
855e9bb3,2
876e7b18,2113
87a974dc,211
87d3168c,19
87ee32c4,1
8907c166,5990
899e6cd1,1788
89e83611,15
8b765b16,7
8ba3496d,67
8bc65ac9,6
8d8905d8,1
8e4b93dc,483
8f356257,6
8f839fe3,9
8fab8b3f,104
91683772,1
91bb8d0a,18
93de26ae,25236
93e1adb8,2
93f9c9e6,48
94692452,948
949a26f4,2
94c32c4d,30
950efd7e,208
9719d06e,1503
97932481,491
979a929c,15
97ed8166,2
98dbb6dc,132
99366dbe,2
9ad968e8,16
9b124c1e,3866
9e8cf15d,91615
9ec082f8,634
9edede5d,1
9f5773ef,6
9f803d1b,2
9f9c8a16,348
9fe5a9e2,1035
a04d4526,5088
a1da74c0,4143
a29e587e,1
a32c97f3,1692
a33ffa4a,1
a3d3b11b,23
a488987d,541
a49933dc,3547
a4e5dc01,2
a543706e,148
a57d364e,13
a659fe24,2
a838a8a6,391
a8b000d7,48
a9caff76,1
aa4e29f6,471
aa5c4639,412
aac8d5c5,175
ab19422d,819
ab671801,1
acc6cd52,18237
acea2d95,132
ad0f5d83,12
addf1d39,2808
adf2ad98,95
ae21e7ca,5
af54f1b7,2574
afbe12f4,2
b0872d0d,2
b1a3858c,190
b1ab4bd6,10
b3375ecf,4
b4b41771,7
b510532c,2442
b59a5434,8
b5ab6d42,243
b6c78d7a,880
b7c246df,4011
b86d9c1e,294
b93b3c48,244
ba5e2d7b,9
bd040f8e,485
bd4d84ff,1
bd93d7d3,285
bf722fa0,417
bf8e1b00,11
c29eaee8,622
c3063686,1770
c3447b44,1
c35b70ac,8
c613e432,14
c6f4a9e4,3
c7538b68,296
c7b9878c,5
c7e2e6c2,2
c84142bb,4489
c8ca27e5,105
c917e7c4,1
ca74d109,2
caac8bbc,1
cab0f4fd,15
cc232261,4
cd58172f,20726
cd9b9090,2393
d0b957c3,1
d13ee621,91
d145245c,1
d1984409,3
d1ecf3ec,1
d1edd4b0,1899
d422589b,61
d48eb8f6,1116
d4db2fb0,17
d62265e2,52
d68d3461,35
d6f0c11f,474
d7109060,2
d96f98c4,10
db6d3e72,11
db8bb53b,91
db9ec9f0,171
dba6d642,9
dd305d98,327
de4c0509,2190
de9ca5a7,30
de9d46f6,2
df935ad1,15
dfc6489e,6891
dfee6b21,1
e0dfd16b,31
e179d51d,3
e1e2fe19,11
e53bc212,37
e6409ff1,11009
e7711b1b,3
e83803b8,18
e85ffaa5,99
e8b73128,96
e9660540,14
ea34b853,77
eaa03483,1032
eaa48307,16
eb03cca9,674
ebd4ed32,1
ecb897a3,1
ed37f65c,104
ee34d2b3,2287
ee511b55,166
ee8b8550,35770
ef1d64af,3
ef84131c,29
f04d5c61,374
f149c712,8
f203ec22,18
f24f8f98,1
f282ab5a,13903
f28fd69f,2988
f528e1e7,1855
f6cba1bd,37163
f79fedec,15
f82a97e0,190
f8359b2d,8
f888f965,9
f9fde1a3,450
fa43f4ce,18
fb08a55b,14
fb7fe338,1
fe920368,1
fe96dcee,7
ff9840d2,1
009d4d04,9
021ba5c7,45
0273c5ad,4435
02e16f58,49
043ae9f3,74
06ca6ad3,1168
076fd845,57
08cecc8e,26
0aa85766,8
0ad5bf87,3711
0adb684a,621
0b19195c,15
0b689b5c,2
0c5d3b65,20
0ce73ffa,260
0d15f19a,32
0d9938a9,2
0e222a11,5
0eba448f,2
0f30aed6,549
10d31a03,93
1245707e,968
125112e3,260
1289c10f,264
128f165c,872
145c8f08,99
145e74a4,24
146b7aa1,2
149f5c4f,47
14a5a57a,9156
14f4797c,6
14f9b8c5,16
157bb93c,20
15a497fe,15594
1721ff3b,1
178a7b89,66099
17a1026e,1290
17e0805f,5
184caad9,1
18f080c2,8
19a1e5c0,2709
1a070cab,525
1a3a5975,33
1aad97ce,1010
1bc7ceab,35
1d5e8665,3
1f40797f,1698
2049e2bb,7
20fdb45f,1
21422606,2
2282eb9e,68
23923b3e,42
2398553f,1777
24544114,2
258bab19,11
26065e89,13
26ade0c7,1
2761f2e9,3
28cd75af,1
292c5ede,16
2a68aa20,71348
2c4ed2f7,20025
2e8f986d,126
3030e8ea,187
303ba0ee,18
3130d707,306
321c8afb,97
32f3709f,337
33092ec0,3888
337755db,1597
344bdd17,2945
347210c9,1676
3525557b,12
35584290,4664
391f2186,14
395fa97c,17131
399c27ea,93
3a5698de,3
3a66a5a5,177
3a79407c,1
3b0144a9,338
3c45902f,23
3cbd816e,10
3cd5925d,4
3d1a0296,1
3dbbce24,4879
3e3f1592,6
3fb6898e,17
40165ece,121
4019685f,1261
40237af0,6
4077d6f1,2415
41067e4c,2
41862575,7
45d990f1,18
464419ea,16
46eb92b7,10
47b67f24,15
483269ea,1
486aa29e,1
49359fb4,96
4a4dff06,381
4ad5dcb7,100
4c4f71f8,8
4cf80ecb,230
4d86c97f,2
4dc32767,32
4e184417,1
4f98a473,262
4fb3d569,1
506cb542,281
51ccf7f2,1
525f992b,281
53c609e1,652
53c678ae,37
54e53ee7,4
556bc527,3
55f4e9fc,401
569cb34d,176
5703969a,116
576c2bff,242
57deebc4,125
5b4bcdd2,349
5b4d2eda,771360
5b8b56c9,224
5be530dd,758
5df346d1,288
60e0c5f9,296
61bd3e05,145
62043702,1
625d5547,163
627f522e,10
63665b80,59
6464c80a,90
64ee53c8,242
65bb6a59,245
6618856d,449
66795de1,1480
68228432,131
6acb969d,133
6b0f0c57,77
6b7ebaa0,65
6b91383f,203
70b730b6,8
70d3bd49,1
71407274,314
7152a402,114
71f69003,220
7336b157,1
74809845,82
760955e6,3
764399a7,9
78b4322c,2600
78d431de,1088
7971d583,757
79db805d,43
7a378e27,11
7a405306,25
7a546792,9
7bd7d1bc,756
7d13349f,377
7db40700,2275
7eb59634,411
7ec6098b,56
8023e17f,8
80acccc7,20
80c7456b,4881
8261c1ec,10
82aff59c,1
82d05fef,2
83576a2f,1
839a3e43,1391
83b890bc,10
8401b4a5,4392
843f93e3,1
848c62d3,631
84a15526,18
85194a81,9
85a2e413,11534
85b6e9cb,42
88aaf457,2989
897302f4,84
8b6e6813,326
8bfe3df6,1
8ca5864f,413
8d5d207a,7
8ddca941,1
91069c72,8906
9185e647,2151
930c2840,2787
94116d07,27
9444ae9b,2652
94bb55de,5837
94e97521,10
95ae7ee3,451
990ac8e6,19
99682e73,4365
9b3d72e6,20
9ce36566,78
9dfeacb9,3
a006abd1,17
a00f64bc,1
a0f80f33,313
a1538e7e,1
a173a702,666
a2643fee,323
a2bcbfd4,1
a31627ac,1
a34eaaf2,2002
a41867c5,4
a4bbad21,1
a4f98c42,1
a60fe7d7,88
a6b8f04a,3
a7b96534,1
a81783da,1
a8633c0b,122
a872ddf1,2
a9d1dc67,281
aa65735d,829
aac6d320,2072
ab6a13b5,12
abad6d5c,446
abba9663,341
ac329c67,111
acf8726f,1347
ad4fb630,10
ad7d593d,14
addb42db,98
adefbe2b,2
ae3acf6a,3
ae9df1d4,5
aeac89e1,13937
b00a48a6,1067
b0386b86,6
b13859b7,89
b152a525,357
b1b67992,2
b26c34cc,155
b3f13f7a,1
b491fd2c,9
b4ea1e53,7
b5d892fb,1
b75575b9,13
b7d3614c,13
b80fc54a,3
bbf51230,820
bc3b3740,2759
bcc1871c,8432
bdc74b24,19
be9c03af,7168
bf25a168,1
c135a32f,2148
c2ee3944,83
c2f59d0a,7
c34fef82,107
c3720b28,16
c3c7062c,140
c4e8210a,4502
c7826c23,2
c787ceb3,6
c88009de,1572
c9af2ca6,1
cb6880f8,58
cc90a057,73
ceea3181,8129
cf201836,61
cf8fe988,12
d03709e8,6
d30bde6a,19
d381ee85,1
d460e600,49
d4692daa,1
d5185b3d,115
d5c9fda3,5
d62fa613,3
d68aa444,39
d6c9ba6f,2
d71602ee,359
d83295a5,15
d84ae82d,339
d93b5553,28
d9ccd1a2,242
db6a7f0e,1
dd2e3fba,1
dd5690b1,108
de44d8a8,26
dea748ac,6
e07d1f48,207
e1c027a3,1
e2726ba3,640
e3e968dc,15
e42fe6f8,9
e47152fa,98
e51df23f,1
e5debe6a,8
e5fb0033,175
e89211aa,2
e9769465,1
e9d0c5b8,25
e9d2a215,1189
ead2ee2a,137
eb5b2073,2
ebfa0432,22
ec835f35,8
ecfe0a13,58
ed2e5c81,1
ed668db9,71
ed7b0018,3477
ee0b2079,9
eeb2990d,509
eeb2e2a5,2
efa1f468,17
f007b3cf,2490
f0963670,406
f256ef57,9
f333b8ba,3
f4c80c78,2628
f604ff55,954
f687bc52,22
f8620a01,5
f86744ec,72
f870f423,157
fa515f10,216
fc0a7549,21
fde4f19d,472
ff255427,46
ffad33d9,114
0187e738,12
0222f9ee,64
0234a6fa,1316
029faab5,31
040a1ec2,3
042d09b7,12
0484d43a,9
08843375,2
09dd8b30,98
0b353285,1
0b4f552f,99
0b665712,209
0b6ae668,2
0b993d3a,590
0bb729f3,3
0bc5795d,46
0c6adf5c,20
0ce41d3a,6585
0d189b1d,711
0d192d70,1
0df82c00,694
0e678137,15
0f386914,11
0fdec006,4
10301373,473
11ee95e8,17
1243471b,2
12b5c7b2,265
137035fb,21
13d22fb8,16
146b144b,35
16a2c062,17
17caea14,278322
1895d1a2,1
18c8eb6c,1
18d3669d,3
18f93581,1
1aaa89da,7409
1ae7e6b2,6
1ce2e823,65
20546e77,6553
20fc48fe,1
21beedfc,441
22875ce6,177
22c87e65,9
2385511f,47
23b9d28c,405
24bff39a,1
26aea0af,10
26fa773f,1
2774bf0e,1
27e3ad60,14
294411bf,21748
2a555dc4,13
2ac7ba12,568
2b795dc8,20
2bd874c0,3
2c5c874d,1146
2caeb3df,1
2f6a468e,1
30a3a37d,62
320fc8c6,68
3256701e,142
3281baa7,38450
33d12414,418
340b7066,30
3439ccb2,1
34a00540,21
34c06a7a,296
34c5c839,209
3547e3a1,328
386bc09a,1
391720db,1
3a622c47,32
3c3d4aeb,9
3c8b5789,1
3d2a9fda,566
3d321f55,117
3d87b0da,5355
3dc2d6de,40048
3dd57905,1345
3df53a0f,736
3e183f99,925
3f300029,269
4110af2f,10
41c76965,1
43833497,2
43aa5b5d,395
4407d527,13420
44de026f,6
45832b51,1438
471c88a5,216
47d47c89,4
48617f7f,1
48c49a88,8
49666f00,328
4a64ae04,1
4ae5007d,3
4b0f0061,10597
4b564c21,914
4e979ad5,361
4edf288e,7
4ef9a1ee,159
4f2bddfc,1
4fecebb8,55
50e69055,8
5252191f,94
527dc054,14
528649d8,77
53676a20,22
53d7b7ef,6
53eee077,1
53f1865d,116
5488a203,12
54d94658,57
56e4c612,936
5729d963,6
575ae214,34
57a6764b,10
582e7041,335
583c8e28,46
5aee3b8c,7
5b904c3a,9294
5bf70069,440
5caafc31,46
5d3869f0,17
5d93ebad,7
5dc9cc50,5
5e27a8ce,15
5e4b15cc,3
60394283,1
61c61685,4
6227cf3f,5857
636cd05c,1
644f8674,48
65aba3f1,139
65b18e2e,9
6747f311,2
68a0bb9c,7
68f95e37,1
6b453f20,120
6bbdf62a,8
6d831894,3
6df8a843,6
6e20e0e1,28
6ec1bb51,4
6ec5727a,6
70f4243b,148
71d10388,411
729ca938,52
72af592e,4570
74fd3234,21
7549fe4f,11619
75f43c5a,29707
7606de23,3
76f70dde,30
770134e0,533
77bfdd7b,2626
77d50753,75
7874c104,6
78989b4a,1
7b123a79,78
7c157b0c,19
7c418d13,78
7d50a826,4587
7dd19f44,79504
7efb63a8,19
7ff7a3f2,54
813807f1,2
819aaf1d,997
81b73f03,3
8342c1ae,3072
84e308ce,123
8684e360,130
88a74f01,1020
88b3ccca,55
88ec42fd,341
89c68257,1
89d88093,134
8bb799ce,79
8d39e87d,2
8d4d0781,73
8e5b6999,28
8f51bf3a,12704
91eed0b0,2
929d2171,5226
93c296dd,504
93ff9974,16
9497210f,382
9550c324,7185
957c2249,277
9583e5b1,38
95cacb2b,1
9986da4e,117
9a4ca560,50
9a6b7c4a,1
9b9d7610,3026
9c2c4339,8
9c32cae5,1
a011e44e,55
a017156d,6
a143e732,6
a16f4e1f,3094
a2ad485f,1
a2df5752,46
a36d69ee,7613
a3ffa5c9,82
a469e235,9259
a48d0fbe,11
a5d1b489,2
a7563c35,6359
a9629a19,2
